Order,Open,High,Low,Close,Volume
1855,523.74,523.96,523.707,523.885,1283908
1856,523.22,523.83,523.19,523.745,770736
1857,524.09,524.18,523.13,523.22,3655332
1858,524.04,524.23,524.015,524.095,315644
1859,523.99,524.11,523.91,524.04,422627
1860,524.21,524.38,523.855,524,629581
1861,524.22,524.36,524.12,524.205,612602
1862,524.01,524.272,523.75,524.2,950526
1863,523.83,524.11,523.45,524.011,1427359
1864,523.67,523.925,523.6,523.815,79807
1865,523.6,523.7,523.45,523.68,23466
1866,523.81,523.82,523.51,523.6,53763
1867,524.04,524.07,523.78,523.81,13653
1868,524,524.08,523.97,524.045,6498
1869,524.18,524.18,523.93,523.96,17060
1870,524.24,524.25,524.03,524.16,9623
1871,524.2,524.27,523.255,524.23,6586
1872,524.15,524.27,523.07,524.209,12582
1873,523.92,524.21,523.92,524.135,12371
1874,523.84,524,523.84,523.94,6927
1875,524.06,524.06,523.68,523.8,10361
1876,524.005,524.15,523.99,524.07,9470
1877,524.18,524.18,523.895,524,25668
1878,524.22,524.23,524.07,524.2,9451
1879,524.27,524.325,524.14,524.24,14885
1880,525.47,526.09,522.12,524.26,126828
1881,525.44,525.64,523.07,524.86,24579
1882,524.94,524.94,524.88,524.92,4966
1883,524.98,524.98,524.85,524.91,12039
1884,524.96,524.99,524.9,524.94,1228
1885,524.97,524.99,524.91,524.99,2011
1886,524.82,524.95,524.81,524.95,2676
1887,524.85,524.85,524.73,524.8,12981
1888,524.97,524.97,524.79,524.91,20676
1889,525.03,525.06,524.96,524.96,13107
1890,525.23,525.24,525.01,525.01,4349
1891,525.25,525.27,525.23,525.23,712
1892,525.22,525.25,525.17,525.241,3954
1893,525.5,525.51,524.25,525.23,94852
1894,525.51,525.54,525.47,525.53,127
1895,525.45,525.47,525.4,525.46,1468
1896,525.52,525.52,525.45,525.46,1472
1897,525.47,525.54,525.47,525.49,2268
1898,525.53,525.55,525.5,525.5,2119
1899,525.54,525.55,525.47,525.48,3577
1900,525.48,525.52,525.48,525.51,1299
1901,525.44,525.51,525.44,525.49,860
1902,525.39,525.5,525.38,525.46,50890
1903,525.38,525.39,525.32,525.39,462
1904,525.41,525.41,525.35,525.38,561
1905,525.39,525.49,525.35,525.4,3509
1906,525.33,525.36,525.32,525.36,203
1907,525.3,525.31,525.3,525.31,261
1908,525.3,525.31,525.25,525.31,107
1909,525.25,525.31,525.21,525.29,499
1910,525.26,525.26,525.21,525.21,378
1911,525.32,525.34,525.22,525.28,1654
1912,525.31,525.32,525.27,525.3,674
1913,525.35,525.36,525.3,525.3,177
1914,525.35,525.38,525.31,525.36,772
1915,525.47,525.48,525.36,525.36,548
1916,525.5,525.5,525.4,525.49,227
1917,525.5,525.54,525.48,525.5,329
1918,525.49,525.54,525.49,525.52,721
1919,525.39,525.49,525.39,525.46,333
1920,525.4,525.44,525.38,525.38,356
1921,525.44,525.46,525.39,525.41,289
1922,525.42,525.45,525.4,525.45,351
1923,525.45,525.46,525.4,525.4,1156
1924,525.4,525.45,525.4,525.4,744
1925,525.33,525.4,525.33,525.4,1035
1926,525.29,525.33,525.23,525.26,955
1927,525.28,525.3,525.16,525.28,3401
1928,525.36,525.4,525.27,525.29,7253
1929,525.57,525.78,525.12,525.35,7712
1930,523.07,523.07,523.07,523.07,2528101
1931,523.05,523.05,522.95,522.95,5684
1932,523.025,523.1,522.96,523.05,149
1933,523.01,523.13,522.95,523,809
1934,523.09,523.09,523,523.025,247
1935,523.18,523.18,523,523.08,774
1936,523.105,523.19,523.05,523.05,333
1937,523.095,523.19,523.06,523.19,596
1938,522.975,523.085,522.975,523.085,319
1939,523.01,523.01,522.902,522.975,1038
1940,523.15,523.177,523.01,523.01,383
1941,523.165,523.25,523.01,523.01,637
1942,523.3,523.3,523.01,523.165,6734
1943,523.2,523.3,523.19,523.245,902
1944,523.25,523.38,523.2,523.25,2403
1945,523.375,523.375,523.23,523.25,8794
1946,523.385,523.41,523.37,523.38,4052
1947,523.41,523.44,523.37,523.37,877
1948,523.07,523.45,523.07,523.43,2528933
1949,523.35,523.45,523.31,523.38,658
1950,523.35,523.57,523.3,523.4,17356
1951,523.27,523.38,523.25,523.36,14337
1952,523.24,523.27,523.2,523.27,10136
1953,523.02,523.25,523.02,523.2,23620
1954,522.865,523.08,522.855,523.02,9690
1955,522.9,522.9,522.84,522.875,2177
1956,522.85,522.9,522.82,522.875,1277
1957,522.9,522.9,522.81,522.85,5277
1958,522.935,522.988,522.86,522.89,4180
1959,522.83,522.99,522.82,522.9,35714
1960,522.89,522.9,522.8,522.84,26769
1961,523.01,523.07,522.9,522.9,38680
1962,522.99,523.01,522.95,523.01,8745
1963,523,523.01,522.975,522.985,16067
1964,523,523.07,522.99,523,119731
1965,523.025,523.07,523,523.015,541334
1966,523.05,523.05,522.99,523.05,278
1967,523.005,523.03,522.96,523.02,35458
1968,522.995,523.03,522.98,523,4096
1969,523.02,523.03,522.96,522.97,4731
1970,522.96,523.04,522.94,523.02,31785
1971,523.16,523.16,522.94,522.94,18776
1972,523.2,523.24,523.1,523.12,121415
1973,523.24,523.26,523.07,523.2,136389
1974,523.25,523.32,521.755,523.25,159844
1975,523.24,523.496,522.907,523.27,5042441
1976,523.07,523.491,523.07,523.24,15810135
1977,523.13,523.495,523.04,523.28,475020
1978,523.12,523.452,522.77,523.12,9104083
1979,523.91,524.2,522.93,523.12,7389753
1980,523.87,524.1,523.58,523.91,3091627
1981,524.08,524.14,523.75,523.88,1284926
1982,524.02,524.21,523.805,524.08,1768862
1983,524.249,524.29,523.875,524.025,1990630
1984,524.46,524.61,524.07,524.242,1777229
1985,524.25,524.58,524.19,524.458,1611644
1986,524.25,524.29,524.05,524.25,1289708
1987,524.09,524.285,524.05,524.242,698283
1988,524.03,524.22,523.9,524.09,718898
1989,523.81,524.055,523.6,524.03,973687
1990,524.14,524.36,523.78,523.8,1047094
1991,523.58,524.285,523.54,524.13,1690199
1992,523.4,523.58,523.32,523.58,761752
1993,523.139,523.43,523.1,523.39,595656
1994,523.42,523.42,523.02,523.14,739014
1995,523.42,523.52,523.355,523.43,432050
1996,523.525,523.57,523.365,523.41,337041
1997,523.41,523.58,523.355,523.52,535815
1998,523.378,523.54,523.37,523.41,468244
1999,523.57,523.615,523.375,523.38,649143
2000,523.525,523.645,523.49,523.551,525162
2001,523.264,523.58,523.2,523.525,547261
2002,523.39,523.41,523.09,523.27,437723
2003,523.21,523.44,523.21,523.38,530382
2004,523.41,523.48,523.2,523.22,785200
2005,523.31,523.44,523.225,523.41,264878
2006,523.3,523.35,523.175,523.3,344528
2007,523.045,523.345,522.92,523.3,403409
2008,523.125,523.13,522.99,523.04,279761
2009,523.15,523.22,523.02,523.125,312978
2010,523.18,523.265,523.035,523.15,305855
2011,523.19,523.26,522.98,523.18,424724
2012,523.38,523.42,523.08,523.18,372956
2013,523.24,523.49,523.24,523.385,402126
2014,523.35,523.35,523.06,523.244,405366
2015,523.31,523.37,523.12,523.35,441174
2016,523.205,523.31,523.13,523.31,373663
2017,523.2,523.305,523.08,523.2,419186
2018,523.21,523.335,523.14,523.195,778796
2019,523.195,523.3,523.11,523.22,1008001
2020,523.47,523.48,523.105,523.19,737362
2021,523.2,523.47,523.16,523.47,448373
2022,523.245,523.36,523.14,523.21,290653
2023,523.35,523.415,523.245,523.245,893965
2024,523.32,523.43,523.285,523.34,803376
2025,523.485,523.49,523.19,523.325,806360
2026,523.59,523.6,523.43,523.485,509143
2027,523.58,523.62,523.48,523.59,264694
2028,523.55,523.63,523.475,523.58,278714
2029,523.31,523.57,523.25,523.55,1940386
2030,523.348,523.46,523.3,523.3,537488
2031,523.515,523.519,523.293,523.34,474791
2032,523.58,523.73,523.46,523.52,964110
2033,523.56,523.63,523.47,523.57,553246
2034,523.56,523.58,523.44,523.56,790028
2035,523.41,523.61,523.385,523.56,2312736
2036,523.27,523.42,523.16,523.405,1086514
2037,523.43,523.6,523.17,523.275,772440
2038,523.42,523.525,523.27,523.43,317282
2039,523.45,523.52,523.4,523.43,236839
2040,523.36,523.55,523.345,523.445,523891
2041,523.425,523.475,523.27,523.355,675847
2042,523.35,523.48,523.17,523.42,554530
2043,523.25,523.46,523.25,523.35,812591
2044,523.15,523.3,523.04,523.25,1086156
2045,523.06,523.325,523.04,523.15,344431
2046,523.11,523.17,522.93,523.045,667024
2047,523.15,523.3,523,523.115,877386
2048,523.259,523.3,522.95,523.16,1549007
2049,523.64,523.655,523.175,523.25,1403106
2050,523.25,523.73,523.25,523.63,1515262
2051,523.37,523.45,522.8,523.24,503232
2052,523.35,523.51,523.325,523.365,870765
2053,523.28,523.671,523.22,523.35,934290
2054,522.935,523.336,522.88,523.25,496743
2055,523.02,523.11,522.78,522.93,620639
2056,523.21,523.27,522.84,523.01,999395
2057,523.26,523.42,523.13,523.21,33256
2058,523.23,523.34,523.18,523.34,10510
2059,523.28,523.38,523.17,523.22,31509
2060,523.09,523.29,523.08,523.28,16347
2061,523.18,523.23,523.05,523.11,17122
2062,523.11,523.23,523.03,523.17,27965
2063,522.94,523.15,522.85,523.12,24538
2064,522.86,523.04,522.82,522.925,15905
2065,522.72,523.17,522.6,522.865,19399
2066,522.84,522.84,522.63,522.7,33734
2067,522.86,523.03,522.63,522.84,47741
2068,523,523.5,522.8,522.85,119185
2069,522.95,523.06,522.881,523,23974
2070,522.94,523.03,522.91,522.96,16317
2071,522.95,522.97,522.86,522.94,16631
2072,522.98,523.01,520.56,522.95,35103
2073,523.11,523.13,522.95,522.95,80986
2074,522.85,523.17,522.54,522.68,85807
2075,522.83,522.88,522.8,522.86,10738
2076,522.7,522.82,522.671,522.78,15193
2077,522.64,522.7,522.59,522.65,4714
2078,522.67,522.68,522.61,522.62,6427
